NOME,name,area_ha,area_km2,seca_rischidro,seca_segali,chuva_segali,segener_acesso,segener_disp,saude_malaria,saude_leishmaniose_visceral,saude_leishmaniose_tegumentar,inudacoes_des_hidro,deslizamento_des_hidro
Arroio do Tigre/RS,LINHA F?O,"6,89639","0,068963344","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"2,58756","0,025875558","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"52,1572","0,521569352","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"16,29781","0,16297693","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"18,90957","0,120679126","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"0,47458","0,004745762","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"5,299","0,052989659","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"10,6547","0,106546282","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"0,60734","0,006073336","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Arroio do Tigre/RS,LINHA F?O,"54,34481","0,481830526","0,28","0,22","0,19","0,45","0,38","0,64","0,91","0,73","0,4","0,38"
Bag?/RS,PALMAS (AREA 1),"750,91453","7,509093367","0,31","0,31","0,07","0,42","0,38","0,29","0,87","0,59","0,57","0,44"
Bag?/RS,PALMAS (AREA 3),"44,44813","0,311641396","0,31","0,31","0,07","0,42","0,38","0,29","0,87","0,59","0,57","0,44"
Bag?/RS,PALMAS (AREA 2),"41,89303","0,418926051","0,31","0,31","0,07","0,42","0,38","0,29","0,87","0,59","0,57","0,44"
Ca?apava do Sul/RS,PICADA DAS VASSOURAS - ?REA 01,"11,95558","0,119555528","0,39","0,26","0,15","0,38","0,38","0,32","0,85","0,5","0,73","0,55"
Ca?apava do Sul/RS,PICADA DAS VASSOURAS - ?REA 02,"25,44974","0,254494935","0,39","0,26","0,15","0,38","0,38","0,32","0,85","0,5","0,73","0,55"
Ca?apava do Sul/RS,PICADA DAS VASSOURAS - ?REA 03,"29,09956","0,290992952","0,39","0,26","0,15","0,38","0,38","0,32","0,85","0,5","0,73","0,55"
Ca?apava do Sul/RS,CAMBARA,"584,34543","0,178223735","0,39","0,26","0,15","0,38","0,38","0,32","0,85","0,5","0,73","0,55"
Cachoeira do Sul/RS,CAMBARA,"584,34543","5,665184837","0,34","0,38",0,"0,4","0,38","0,34","0,75","0,58","0,57","0,39"
Coxilha/RS,ARVINHA,"388,86874","0,757352671","0,3","0,38","0,21","0,32","0,38","0,27","0,62","0,47","0,33","0,22"
